month,day,Daily_Temp,Daily_Precip,Daily_Humidity,Daily_Pressure,Daily_WindDir,Daily_WindSpeed,Daily_DNI,Daily_GHI,Daily_radiation
12,12,8.977777777777778,16.0,88.55555555555556,1014.3666666666666,209.55555555555557,2.788888888888889,2.111111111111111,75.22222222222223,74.66666666666667
2,10,-2.21,4.86,47.5,999.32,30.1,4.76,418.5,235.7,92.0
5,15,13.2625,9.0375,48.875,1009.79375,24.8125,4.5125,680.8125,500.5625,77.4375
8,11,32.4,33.833333333333336,34.333333333333336,1002.6866666666666,158.06666666666666,1.18,241.6,269.7333333333333,119.06666666666666
4,4,12.828571428571427,9.69285714285714,50.07142857142857,1010.1214285714286,124.14285714285714,3.314285714285714,621.7142857142857,414.7857142857143,82.78571428571429
12,29,4.199999999999999,8.955555555555556,62.22222222222222,1024.288888888889,122.77777777777776,1.4222222222222225,284.22222222222223,131.66666666666666,72.88888888888889
10,28,13.318181818181818,17.563636363636363,62.0,1000.4909090909092,227.3636363636364,6.836363636363637,70.45454545454545,118.0909090909091,102.9090909090909
2,9,10.34,23.52,72.4,999.8,209.6,10.39,0.0,77.3,77.3
12,4,6.055555555555555,7.688888888888889,60.11111111111112,973.8222222222222,216.0,4.911111111111111,234.77777777777777,130.44444444444446,63.77777777777778
4,8,19.214285714285715,17.342857142857145,48.07142857142857,1012.157142857143,146.5,1.3357142857142856,557.0714285714286,414.57142857142856,101.71428571428572
1,30,11.18,17.240000000000002,77.2,984.17,230.0,4.05,92.2,123.9,93.3
11,28,11.28888888888889,16.299999999999997,68.44444444444444,988.5888888888888,245.22222222222223,6.255555555555556,82.66666666666667,106.88888888888889,92.77777777777776
6,14,24.58235294117647,18.352941176470587,44.23529411764706,1009.1117647058824,114.29411764705884,1.476470588235294,653.1176470588235,495.0,75.23529411764706
6,24,26.975,38.34375,56.3125,1004.8875,159.5,2.60625,268.8125,399.6875,228.0625
9,2,21.335714285714285,16.678571428571427,48.42857142857143,1011.2071428571428,60.0,4.535714285714286,617.5714285714286,427.3571428571428,84.28571428571429
11,11,13.077777777777778,17.055555555555557,74.44444444444444,1011.6666666666666,177.88888888888889,2.6333333333333333,2.333333333333333,80.11111111111111,79.44444444444444
2,23,10.425,8.991666666666667,67.33333333333333,1018.2916666666666,84.91666666666667,3.5416666666666665,600.5833333333334,277.4166666666667,51.25
8,29,22.52142857142857,19.35,45.285714285714285,1010.1214285714286,293.07142857142856,2.85,278.42857142857144,295.35714285714283,167.42857142857142
11,24,9.322222222222225,13.8,75.88888888888889,996.6555555555556,210.77777777777777,2.477777777777778,240.11111111111111,155.66666666666666,87.55555555555556
10,5,12.791666666666666,23.05,80.16666666666667,990.7666666666668,237.16666666666663,6.416666666666667,0.0,96.58333333333331,96.58333333333331
3,9,7.875,10.608333333333333,57.66666666666666,1009.7666666666668,323.5,2.1,293.3333333333333,281.3333333333333,155.66666666666666
9,10,19.185714285714287,16.8,37.71428571428572,1007.0428571428572,91.64285714285714,2.357142857142857,529.7857142857143,377.0,102.5
